study_id,doi,pmid,pmcid,species,strain,drug,drug_class,mono_or_combo,n_exposure_levels,concentration_range,MIC_reported,exposure_type,duration_h,n_sampling_times,sampling_times,readout,n_replicates,inoculum_cfu_ml,LOD_cfu_ml,system,growth_state,published_pd_model,published_params,data_source,data_availability,role,verified_by,verified_date,repository,record_url,licence,licence_class,redistributable,has_time_series,has_starting_density,has_floor_or_volume,headroom_computable,n_series,acquisition,permission_status,notes
GEERTS2022,10.5281/zenodo.7147832 (concept DOI 10.5281/zenodo.7147831) — matches,,,"Streptococcus pneumoniae — D39, R6, TIGR4, ATCC49619 plus 12 clinical isolates with serotype, carriage/infection status ",,"Amoxicillin, cefuroxime, moxifloxacin, vancomycin at 100x MIC for the kill curves; a 19-level dose ladder for the dose-r",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,https://zenodo.org/records/7147832 (record JSON via https://zenodo.org/api/records/7147832),"CC BY 4.0 — Zenodo record metadata.license.id = 'cc-by-4.0', access_right 'open'. Redistributable.",USE_OK_REDIST_OK,yes,"YES, and the deepest in the family — verified. 12 timepoints",YES — verified. Absolute CFU/mL at t=0 in every kill-curve s,"NO — no plated volume, LOD or LOQ. NEW: the minimum value in both kill-curve sheets is exactly 1 CFU/mL, the same impossible floor placehold",no: neither reported,"1,065 per-reading kill-curve CFU/mL values (480 + 585), plus 120 dose-response endpoints a",deposit,not requested,"One workbook, 10 sheets, all long-format with a Repeat column. Verified row counts: 'Time-kill curves D39' 480 data rows (Repeat, Time of treatment (h), Concentration (CFU/mL), Growth phase, AB, drug conc); 'Heritability assay - kill curve' 585 rows (adds Strain = original culture vs clone); 'Dose-dependent kill curve "
SOEORG2026_2,10.5281/zenodo.19889677 — matches the record I opened,,,"Acinetobacter baumannii — 60 isolate/strain records (the paper reports 53 distinct strains across 21 source papers), eac",,"Meropenem, colistin, polymyxin B, and meropenem+colistin/PMB combinations. Four arms present: control (421 obs), meropen",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,https://zenodo.org/records/19889677 (record JSON via https://zenodo.org/api/records/19889677; both files downloaded via /files/{name}/content),"CC BY 4.0 — read from the Zenodo record JSON (metadata.license.id = 'cc-by-4.0', access_right 'open'). Redistributable. Note the underlying values are extracted from 21 third-party papers; the deposit",USE_OK_REDIST_OK,yes,YES — verified by parsing. 369 distinct series (ID x OCC x m,"YES — verified. 369 t=0 observations, median 6.06 log10 CFU/",YES — and this is the only dataset in the whole corpus with a machine-readable floor. An explicit LOD column carries the per-row limit of de,no: neither reported,"2,257 observation rows; 369 kill-curve series; 60 isolate records; 24 occasions; 120 censo",deposit,not requested,"Two files: data.csv (222 KB, 2,636 rows, 38 columns, NONMEM-format) and model.txt (the NONMEM control stream). data.csv columns include ID, TIME, DV (log10 CFU/mL), EVID, MDV, CMT, OCC, INOC_TH, LOD, BLOD, MIC_meropenem, MIC_colpmb, CSET_MERO, CSET_COL, MEROPENEM/COLPMB/COMB/CONTROL arm flags, COLISTIN/POLYMYXINB, anya"
ZHANG2023,10.3389/fphar.2023.1226936.s004 (figshare article id 24257833) — matches the record I opened. Parent article doi 10.3389/fphar.2023.1226936.,,,"Klebsiella pneumoniae — three strains with differing susceptibility phenotypes: ZJ42, ZJ42-1.5s (a selected variant) and",,"Enrofloxacin and cefquinome, alone and in combination. Static sheet: ladders at 1/2, 1, 2, 4, 8x MIC for each drug alone",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,https://figshare.com/articles/dataset/_/24257833 — record JSON retrieved via https://api.figshare.com/v2/articles/24257833; file downloaded via https://ndownloader.figshare.com/files/42580909,"CC BY 4.0 — read from the figshare record JSON (license.name 'CC BY 4.0', url https://creativecommons.org/licenses/by/4.0/). The parent article's Europe PMC record also reports licence 'cc by'. Redist",USE_OK_REDIST_OK,yes,"YES — verified. PD-static: 0, 1, 3, 6, 9, 12, 24 h. PD-dynam","YES — verified. Absolute t=0 CFU/mL present in every arm, e.","YES — both, and this is why I am adding it. The parent paper states it explicitly, and I read it in the full text rather than inferring it: ",no: neither reported,"~480 absolute CFU/mL readings (224 static + 256 dynamic) across 3 strains, 2 drugs alone p",deposit,not requested,"One workbook, Table1_...xlsx (1.18 MB, 7 sheets): 'PK' (HPLC calibration curves and measured drug concentrations over time), 'PD-static' (static time-kill, 224 absolute CFU/mL values, each paired with its log10), 'PD-dynamic' (in vitro dynamic model, 256 values, same paired layout), 'PKPD parameter-static', 'PKPD param"
ALEXANDER2020,10.5061/dryad.12jm63xtb (Zenodo mirror record id 3963149) — matches both records I opened,,,"Pseudomonas aeruginosa — sensitive and Rms149 plasmid-bearing resistant strains, fluorescently labelled (DsRed / YFP)",,"Streptomycin at sub-MIC multiples of the resistant strain's MIC (1/32, 1/16, 1/8, 1/4 x MIC.R) plus zero controls; merop",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,https://zenodo.org/records/3963149 (Zenodo mirror; record JSON via https://zenodo.org/api/records/3963149). Dryad record retrieved via https://datadryad.org/api/v2/datasets/doi%3A10.5061%2Fdryad.12jm63xtb,"CC0 1.0 — Zenodo mirror metadata.license.id = 'cc-zero'; Dryad record license field = https://spdx.org/licenses/CC0-1.0.html, confirmed by fetching the Dryad dataset JSON directly. Redistributable.",USE_OK_REDIST_OK,yes,"YES — verified. Plate Set A: 0h07, 1h10, 2h02, 2h20, 2h40, 3","YES — verified. Absolute population sizes at 0 h, median ~90",YES — the workbook states the plated volume in its own explanatory notes: each entry is the total colony count across '5 plates (5 x 4ul spo,no: neither reported,"330 raw colony-count cells across 2 plate sets, 5 streptomycin levels and 6 replicates; 33",deposit,not requested,"deposit.zip containing pop-dynamics/colony-counts.xlsx (raw total colony counts per replicate per timepoint, two plate sets), popsize-ANOVA.csv (330 rows: Set, Strep, Time, PopSize), MIC-tests/ (four workbooks, including MIC-varyinocsize-varyvol.xlsx which varies inoculum density AND culture volume — 116, 200, 1160 uL "
STEPANYAN2015,10.5061/dryad.7k130 (Zenodo mirror record id 4989780) — matches,,,"Pseudomonas aeruginosa — PAO1 wild type, a high-persistence mutant, and clinical/environmental isolates. CORRECTION: the",,Ofloxacin (persister assays); MICs also tabulated,,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,https://zenodo.org/records/4989780 (Zenodo mirror; record JSON via https://zenodo.org/api/records/4989780),CC0 1.0 — Zenodo mirror metadata.license.id = 'cc-zero'; Dryad record license = https://spdx.org/licenses/CC0-1.0.html. Redistributable.,USE_OK_REDIST_OK,yes,"YES but very thin for the kill curve — 7 timepoints (1, 2, 3","NO for the kill curve — the series starts at t=1 h, so there","NO — no plated volume, dilution or LOD in any of the 7 files.",no: neither reported,21 log10-CFU kill-curve readings; plus 327 rows of population-size trajectories and 120 ro,deposit,not requested,"One zip, 7 files, all inspected. 'Fig S2 killing curve.xlsx' is the only genuine kill curve: columns TIME / REPLICATE / LOG10CFU, 21 data rows. 'Fig 4 raw data.txt' (327 rows): time / strain / perslevel / CIs / replicate / popsz / type, where popsz reaches 9.5e9 over 0-101 h but perslevel is a strain-level constant — a"
LEON2025,10.6084/m9.figshare.29892218.v1 — matches the record I opened,,,"Pseudomonas aeruginosa PAO1 and Escherichia coli MG1655 with SOS-pathway mutants (DrecA, lexA3, lexA(S125A)) and further",,"Ciprofloxacin (persister curves), levofloxacin in supplementary work; other panels are growth assays, culturability and ",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,https://figshare.com/articles/dataset/Raw_data_files_for_Conservation_and_divergence_of_ciprofloxacin_persister_survival_mechanisms_between_i_Pseudomonas_aeruginosa_i_and_i_Escherichia_coli_i_/29892218 (record JSON via https://api.figshare.com/v2/articles/29892218),"CC BY 4.0 — read from the figshare record JSON (license.name 'CC BY 4.0', url https://creativecommons.org/licenses/by/4.0/). Redistributable.",USE_OK_REDIST_OK,yes,"YES — 5 timepoints per culture (0, 1, 3, 5, 7 h), 3 to 12 bi",NO — and I have now established this exhaustively rather tha,"NO — no plated volume, dilution or LOD. Fractions reach 8.7e-07, implying a large N0 and a floor well below it, but nothing is stated and no",no: neither reported,"18 workbooks, ~60 panels, on the order of 300-400 replicate series x 5 timepoints — all as",deposit,not requested,"18 .xlsx files, one per main or supplementary figure, ~60 sheets total, each annotated 'Note: Each row in each table is a separate biological replicate'. Panels are laid out as a time header row (0, 1, 3, 5, 7 h) with one row per biological replicate."
VAN2022,"10.1038/s41467-022-28141-x (article DOI; the Source Data file has no separate accession) — Europe PMC core record confirms PMCID PMC8795404, PMID 35087069",,,"Escherichia coli — wild type plus complex I persistence mutants (labelled L, M, N and others) from a laboratory-evolutio",,"Ofloxacin, amikacin, kanamycin, gentamicin (survival sheets); other sheets cover NADH kinetics, cytoplasmic pH and intra",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,"https://europepmc.org/article/MED/35087069 ; Source Data file 41467_2022_28141_MOESM9_ESM.xlsx retrieved from https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8795404/supplementaryFiles (13.8 MB zip, 26 files)","CC BY — the Europe PMC core record for PMC8795404 reports license 'cc by', isOpenAccess 'Y'. There is no separate repository record with its own licence field, so the article licence governs the Sourc",USE_OK_REDIST_OK,yes,"YES — per-strain, per-biological-replicate series indexed by",NO — verified directly. Every survival value is a log10 frac,"NO — no plated volume, dilution or LOD anywhere in the Source Data.",no: neither reported,"80 sheets; roughly 800-900 time-resolved survival readings among them, the rest being non-",deposit,not requested,"One 13.5 MB Source Data workbook. CORRECTION: 80 sheets, not 81. The kill-curve-relevant sheets are long-format with columns strain / Log10(survival fraction) / time (h) / bio: Figure 2e (169 rows), Supplementary Figure 2f, 2g, 2h (169 rows each), Supplementary Figure 4c (CORRECTION: 91 rows, not 184), Supplementary Fi"
RIVANI2022,10.5061/dryad.rxwdbrvc3 (Zenodo mirror record id 6622399) — matches,,,"Acinetobacter baumannii — ATCC 19606 plus three clinical resistotypes (MDR 1, MDR 2, XDR)",,"Meropenem + ampicillin-sulbactam and meropenem + amikacin, each at 0.5+0.5, 1+1, 2+2 and 2+0.5 x MIC, plus a growth cont",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,https://zenodo.org/records/6622399 (Zenodo mirror; record JSON via https://zenodo.org/api/records/6622399; both CSVs and the README downloaded in full),CC0 1.0 — Zenodo mirror metadata.license.id = 'cc-zero'; Dryad record license = https://spdx.org/licenses/CC0-1.0.html. Redistributable.,USE_OK_REDIST_OK,yes,"YES nominally — 7 timepoints per arm (0, 1, 2, 4, 6, 8, 24 h",YES nominally — t=0 log CFU/mL = 5.78 for every one of the 3,"NO — no plated volume, dilution or LOD.",no: neither reported,"252 log CFU/mL values, every one of them a mean of six replicates",deposit,not requested,"Three files, all read in full. Colony_Count_Data.csv (1.6 KB, semicolon-delimited): Isolate; Hour; then one column per treatment arm, in log CFU/mL. Turbidity_Data.csv holds matched McFarland readings. README states the panel, the four resistotypes, and — decisively — that 'Turbidity data and colony count were the mean"
STEWART2011,10.5061/dryad.h7d843j6; primary article 10.1111/j.1558-5646.2011.01467.x (Evolution),,,"Escherichia coli - 24 ECOR collection strains, natural isolates spanning the species' genetic diversity",,"Ampicillin, streptomycin, norfloxacin - three separate column blocks (cols 0-6, 8-14, 16-22)",,,,,,,,,,,,,,,,,,deposit,,DUPLICATE,"corpus hunt, verified pass",2026-09-07,clinical-gram-neg-pos (verification pass,https://datadryad.org/dataset/doi:10.5061/dryad.h7d843j6,CC0 1.0 - read from the Dryad API dataset object (license = https://spdx.org/licenses/CC0-1.0.html). Freely redistributable.,USE_OK_REDIST_OK,yes,"YES - verified by opening the workbook; 5 time points (0, 60",YES - verified; every block has a t=0 row with absolute coun,"NO stated LOD or plated volume - but the floor is legible in the count granularity, which is more than the agent could say. Smallest counts ",no: neither reported,"Up to 24 strains x 3 drugs x 2 replicates x 5 times = ~720 readings; 84 KB workbook, 1 fil",deposit,not requested,"Duplicate deposit: the same Dryad record is already held under STEWART2012. Kept in the manifest so the search is not repeated, excluded from the corpus so its readings are not counted twice."
KOLLEROVA2024_2,10.5061/dryad.rr4xgxdbj; primary article 10.1128/msystems.00256-24; preprint 10.1101/2021.05.26.445729,,,"Escherichia coli MG1655 (laboratory strain, not a clinical isolate)",,"Ampicillin at 8 concentrations - 0, 2, 4, 8, 16, 32, 64, 128 ug/mL - applied recurrently, with the 0 arm as drug-free co",,,,,,,,,,,,,,,,,,deposit,,DUPLICATE,"corpus hunt, verified pass",2026-09-07,clinical-gram-neg-pos (verification pass,https://datadryad.org/dataset/doi:10.5061/dryad.rr4xgxdbj,CC0 1.0 - read from the Dryad API dataset object (license = https://spdx.org/licenses/CC0-1.0.html). Freely redistributable.,USE_OK_REDIST_OK,yes,"YES - verified by parsing; TimeMin 60, 150, 330, 420, 1080, ",YES with one caveat you must respect - verified that all 64 ,"YES, stated outright - Vol_plated_mL = 0.005 (5 uL) on every one of the 384 rows, alongside a per-reading Dilution_factor spanning 1 to 100,",no: neither reported,"384 readings across 64 arms x 6 time points; the CFU file is 14 KB, the full deposit 13 fi",deposit,not requested,"Duplicate deposit: the same Dryad record is already held under KOLLEROVA2024. Kept in the manifest so the search is not repeated, excluded from the corpus so its readings are not counted twice."
JUSKEWITZ2022,"10.18710/6z0vjx (DataverseNO, UiT The Arctic University of Norway)",,,"Bacillus subtilis 168 - Gram-positive, but a laboratory reference strain, not a clinical isolate; flag this when assembl",,"Lulworthinone (a marine-fungal dimeric naphthopyrone, coded MBC329) and chlorhexidine (CHX), each at 0, 0.25, 0.5, 1, 2 ",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,clinical-gram-neg-pos (verification pass,https://dataverse.no/dataset.xhtml?persistentId=doi:10.18710/6z0vjx,CC0 1.0 - read from the DataverseNO API record itself (latestVersion.license.rightsIdentifier = 'CC0-1.0'). Freely redistributable.,USE_OK_REDIST_OK,yes,YES - verified by parsing; 6 time points present in all 12 a,YES - verified; every one of the 12 arms has a minutes=0 row,YES - the README states the method explicitly: each sample was serially diluted seven times in PBS and '20 uL of each dilution was plated ou,no: neither reported,72 readings across 12 arms x 6 time points (replicate-averaged from a stated n=6); tidy CS,deposit,not requested,"NEW ENTRY, found via DataCite '""minimum bactericidal concentration"" AND time AND CFU' then the DataverseNO API - a repository the prior agent never queried. Eight top-level files; the relevant one is 06_Time_kill_curves.zip (376,867 B) containing a README, Time_kill_curve_02_tidy_data.csv, the analysis R script and the"
MUETTER2026,"10.5281/zenodo.21321592 (supersedes 10.5281/zenodo.15261454); parent paper 10.7554/eLife.109213, PMC13441296",,,Escherichia coli carrying a luxCDABE reporter (laboratory strain),,"~20 antimicrobials. I confirmed 18 by name in the tidy frames: ampicillin, penicillin, amoxicillin, piperacillin, mecill",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,clinical-gram-neg-pos (verification pass,https://zenodo.org/records/21321592,"CC BY 4.0 - read from the Zenodo API record (metadata.license.id = 'cc-by-4.0'), access open. Confirmed independently.",USE_OK_REDIST_OK,yes,YES - verified; CFU rows in the seven combined frames carry ,NO in the layer you would actually use - this corrects the a,"YES in form - an explicit below_limit boolean sits alongside num_colonies, dilution and dil_factor on every CFU row, so censoring is flagged",no: neither reported,"3.87 GB compressed, 50,052 entries. Usable tidy yield: 438 CFU readings across ~20 drugs. ",deposit,not requested,"STRUCTURE CONFIRMED, USABLE YIELD DOWNGRADED. The archive is as described and I re-derived its manifest independently: one 3,874,417,420-byte zip, 50,052 entries - 44,194 PNG, 2,039 CSV, 955 XML, 731 Tecan .gwl, 538 .py, 206 .xlsx - across eight experiment folders (validation_experiments_2024, stop_death, od_lum_cfu_ex"
JEPSON2016,10.7488/ds/1309 (resolves 302 to the handle above); DSpace item uuid f0bff12b-6b90-4887-af12-a9f759967b05,,,Escherichia coli,,"Pexiganan (an antimicrobial peptide) at 0, 1, 2.5 and 5 uM, studied specifically for inoculum-dependence of the MIC",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,clinical-gram-neg-pos (verification pass,https://datashare.ed.ac.uk/handle/10283/1885,"CC BY 4.0 - RESOLVED, correcting the agent's 'UNRESOLVED'. Read from the repository's own item metadata via the DSpace REST API: dc.rights = 'Creative Commons Attribution 4.0 International Public Lice",USE_OK_REDIST_OK,yes,YES - verified by reading the file; 6 to 8 time points per c,YES - verified; a t=0 absolute count is present for all four,"NO - no LOD, LOQ or plated volume in the deposit or the description file. The smallest counts recorded are 100 and 150 CFU/mL, which hints a",no: neither reported,"~29 time-kill readings across 4 concentrations; the time-kill file is 654 B, the nine tabu",deposit,not requested,"UPGRADED ON BOTH COUNTS THE AGENT LEFT OPEN. Edinburgh DataShare's DSpace 7 REST API works fine; only the browser front end is an Angular shell. Via the API I listed all 24 bitstreams and read the small ones. 'time-kill curves.txt' (654 B) is a genuine tab-delimited time-kill table: four blocks, one per pexiganan conce"
RIVANI2022_2,10.6084/m9.figshare.20024270.v3; a CC0 twin sits on Dryad at 10.5061/dryad.rxwdbrvc3; article 10.12688/f1000research.122221.1,,,"Acinetobacter baumannii - ATCC 19606 plus three clinical isolates labelled MDR A, MDR B and XDR in the file",,"Meropenem + ampicillin-sulbactam and meropenem + amikacin, each at 1/2MIC+1/2MIC, 1MIC+1MIC, 2MIC+2MIC and 2MIC+1/2MIC",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,clinical-gram-neg-pos (verification pass,https://figshare.com/articles/dataset/Colony_Count_and_Turbidity_Data_csv/20024270,CC0 1.0 - read from the figshare API record (license.name 'CC0'). The Dryad twin is CC0 as well. Correct as the agent reported.,USE_OK_REDIST_OK,yes,"YES nominally - verified, 7 time points 0-24 h - but 8 of 32",NOT AS A MEASUREMENT - this corrects the agent's YES. t=0 is,"NO - no limit of detection, limit of quantification or plated volume anywhere in the deposit or the record",no: neither reported,"32 arms x 7 time points = 224 cells, of which only 67 are non-placeholder; 5.5 KB CSV",deposit,not requested,"AUTHORSHIP CORRECTED AND CONTENTS DOWNGRADED. First, the record's authors are Erizka Rivani, Pepy Dwi Endraswari and Agung Dwi Wahyu Widodo - the prior agent named this 'Rakhmawatie et al.', which is wrong and would misattribute the citation. Second, and more seriously, the data are far weaker than 'real per-time-point"
HAO2026,10.6084/m9.figshare.32396910.v2,,,"Acinetobacter baumannii - ATCC 19606, Ab1605, Ab9R65",,"Contezolid, polymyxin B nonapeptide (PBNP), the CP combination, and a PBS control",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,clinical-gram-neg-pos (verification pass,https://figshare.com/articles/dataset/Contezolid_and_polymyxin_B_nonapeptide/32396910,CC BY 4.0 - read from the figshare API record (license.name 'CC BY 4.0'). Correct as the agent reported.,USE_OK_REDIST_OK,yes,YES - verified by opening the workbook; four time points per,"NO - verified absence, as the agent said. The first recorded","NO - no LOD, LOQ or plated volume in the deposit or the figshare record",no: neither reported,3 strains x 4 arms x 3 replicates x 4 time points = 144 readings; 13.5 KB workbook,deposit,not requested,"CONFIRMED EXACTLY AS THE AGENT DESCRIBED - I opened the workbooks and found no discrepancies. Five per-figure workbooks; 'Figure 2.xlsx' (13,524 B) is the time-kill one, with sheets Fig. 2A, 2B and 2C, one per strain. Each sheet gives Log10 CFU/mL at 1, 6, 12 and 24 h for four arms, with three replicate values per arm "
TANTRY2024,10.4121/8ae3f475-dd3e-48cf-ac69-6ae3fe0293ef.v1,,,"Acinetobacter baumannii and A. nosocomialis, clinical isolates (Kasturba Medical College, Manipal) - isolates AbaBS-3 an",,"Colistin, meropenem, the colistin + meropenem combination, and a growth control",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,clinical-gram-neg-pos (verification pass,https://data.4tu.nl/datasets/8ae3f475-dd3e-48cf-ac69-6ae3fe0293ef/1,CC0 1.0 - read from the 4TU.ResearchData API article record (license.name 'CC0'). Correct as the agent reported.,USE_OK_REDIST_OK,yes,"YES formally - verified, six time points 0-24 h for all eigh","YES formally - verified, t=0 present for every arm, recorded","NO - no LOD, LOQ or plated volume; the floor is implied only by the literal zeros in the combination arms, and log10 = 0 would mean 1 CFU/mL",no: neither reported,2 isolates x 4 arms x 6 time points = 48 readings; 89 KB workbook,deposit,not requested,"CONFIRMED, AND I WOULD PUT THE WARNING MORE STRONGLY THAN THE AGENT DID. Two files; the workbook has four sheets (Growth curve assay, Biofilm Assay, Checkerboard Assay, Time kill assay), only the last a kill curve. I opened it: 2 isolates x 4 arms x 6 time points (0, 2, 4, 8, 12, 24 h) in log10 CFU/mL. Every single val"
JOVANOVIC2026,"10.1038/s41564-025-02217-y; Zenodo 10.5281/zenodo.17232777 (demo pipeline, 13,928,950,966 bytes, one file); code archive 10.5281/zenodo.17775709 (639,165 bytes)",,,Mycobacterium abscessus — 406 clinical isolates in the time-kill panel (376 of them in the patient phylogeny); plus M. t,,"Amikacin, azithromycin, cefoxitin, imipenem, linezolid, minocycline, moxifloxacin, tigecycline — each at 10x and 20x MIC",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tb-consortia,https://pmc.ncbi.nlm.nih.gov/articles/PMC12872448/ — Source Data workbooks MOESM6-MOESM15 retrieved via https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12872448/supplementaryFiles ; companion record https://zenodo.org/records/17232777,"CC BY 4.0 — Europe PMC core record for PMC12872448 returns 'cc by'. The companion Zenodo record 17232777 returns license {'id':'cc-by-4.0'}, access_right 'open'. Both redistributable.",USE_OK_REDIST_OK,yes,YES — verified by parsing the whole 173k-row sheet: every is,"YES, and MORE STRONGLY THAN THE PREVIOUS AGENT CLAIMED. It s","YES for the imaging assay, and computable per series: the hard floor of a single-cell assay is 1/N_tracked, and N_tracked is reported for ev",no: neither reported,"~323,000 rows of time-resolved viability across the Source Data workbooks; 5,596 M. absces",deposit,not requested,"MOESM9 sheet 'Fig 3b' is 173,473 data rows of {MAB_SampleNr, Condition, Time (h), Fraction of live cells}. I parsed it: 5,596 unique isolate x drug-condition series, 406 distinct isolates, 30-31 timepoints per series over ~72 h. MOESM7 'Fig 1c' is 131,873 rows of per-cell propidium-iodide intensity with a per-track liv"
SEBASTIAN2025,10.1038/s41467-025-67152-2 (Source Data 41467_2025_67152_MOESM9_ESM.xlsx),,,CORRECTED: the methods state 'We used an auxotrophic mutant of M. tuberculosis mc2 6230 for the experiments' — NOT an H3,,"Rifampicin 10x MIC (0.1 ug/mL) as the primary agent; also bedaquiline, telacebec (Q203), isoniazid (0.5 ug/mL), moxiflox",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tb-consortia,"https://pmc.ncbi.nlm.nih.gov/articles/PMC12800208/ — Source Data retrieved as 41467_2025_67152_MOESM9_ESM.xlsx (1,422,031 bytes) via the Europe PMC supplementaryFiles endpoint","CC BY-NC-ND 4.0 — confirmed twice: Europe PMC core record returns 'cc by-nc-nd', and I read the licence paragraph in the article XML: '...Attribution-NonCommercial-NoDerivatives 4.0 International Lice",USE_OK_REDIST_NO,no,"YES — four timepoints (Day 0, 4, 12, 16) in Figures 1B and 2","YES — Day 0 CFU/mL per well, e.g. 2,800,000 / 2,660,000 / 2,","UPGRADED FROM 'NO' TO PARTIAL. The previous agent reported no floor and no plated volume; I found the volume in the methods, verbatim: 'At e",no: neither reported,30 sheets; ~700-900 individual CFU readings across the CFU-bearing sheets (I counted 969 n,deposit,not requested,"Sheet 'Figure 1 B' is headed 'Rifampicin Time-Kill kinetics of TRIP library', rows Day 0/4/12/16, up to twelve replicate wells per arm, in CFU/mL (Day 0 ~1.9-2.9e6). 'Figure 2A-I' holds eight stacked panels (sigI, blaI, sigC and five more), each with rows Day 0/4/12/16 x 4 replicates x induced-vs-uninduced. 'Figure 4' "
WALTER2025,"10.1038/s41467-025-56146-9 (Source Data 41467_2025_56146_MOESM13_ESM.xlsx). The paper's other deposit, Zenodo 10.5281/zenodo.14179430, is LC-MS/MS drug concentr",,,M. tuberculosis H37Rv in chronic-infection BALB/c mice and in IL-13 transgenic mice (which form centrally necrotising gr,,"BTZ-043 (DprE1 inhibitor) at 2.5, 5, 10, 50, 100, 250, 500 and 1000 mg/kg/day, BID and QD; isoniazid 25 mg/kg; CMC/Tween",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tb-consortia,"https://pmc.ncbi.nlm.nih.gov/articles/PMC11742723/ — Source Data retrieved as 41467_2025_56146_MOESM13_ESM.xlsx (55,601 bytes) via https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11742723/supplementaryFiles",CC BY 4.0 — Europe PMC core record for PMC11742723 returns 'cc by'; the article XML carries 'https://creativecommons.org/licenses/by/4.0/' and the standard CC BY paragraph. Redistributable.,USE_OK_REDIST_OK,yes,YES for the dose-escalation arms — five sampling times (-3 w,"YES, twice — the 'therapy start' row gives per-mouse counts ",NO. Methods say only 'Tenfold serial dilutions of lung homogenates were plated on Middlebrook 7H10 agar supplemented with 10% bovine serum';,no: neither reported,"Roughly 250-350 per-mouse CFU readings across sheets 1a&b, 1c, 3a and 4a (5-6 mice per arm",deposit,not requested,"MOESM13 sheet '1a&b' is headed 'pulmonary CFU counts / mouse' and gives ABSOLUTE (not log) per-mouse CFU at five sampling times: '3 weeks before' (implantation), 'therapy start' (Day 0), and 4, 6 and 8 weeks of treatment, across the no-treatment control and the 50/100/250 mg/kg dose arms (and further arms across 50 col"
STRYDOM2024,"10.1038/s41467-024-50781-4; figshare 10.6084/m9.figshare.26054098.v1 (source_data_tbi223.csv, 120,694 bytes)",,,M. tuberculosis in BALB/c mice (acute and chronic infection models) and in New Zealand White rabbit lesions; beagle dogs,,"TBI-223 and linezolid, alone and within the bedaquiline-pretomanid backbone (BPaL); mouse dosing 15-45 mg/kg BID and 100",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tb-consortia,"https://pmc.ncbi.nlm.nih.gov/articles/PMC11344811/ (Source Data 41467_2024_50781_MOESM4_ESM.xlsx, 88,551 bytes) AND the standalone deposit https://api.figshare.com/v2/articles/26054098 -> file https://ndownloader.figshare.com/files/47111650","CC BY 4.0 in both places, checked independently: Europe PMC core record for PMC11344811 returns 'cc by' and the article XML carries the CC BY 4.0 paragraph; the figshare API record 26054098 returns li",USE_OK_REDIST_OK,yes,YES but SHALLOW for the plate-count part — mouse arms carry ,YES for the combination-therapy block — Day 0 per-mouse valu,NO explicit LOD. Methods state 'The homogenates were serially diluted in PBS and plated on Middlebrook 7H11 agar plates supplemented with 10,no: neither reported,153 per-animal LOGCFU plate-count readings (90 mono-therapy + 63 combination). Plus 490 TT,deposit,not requested,"The workbook and the figshare CSV are the same 1,976-row long-format table split into labelled SECTION blocks. I enumerated every block. The genuine plate-count content is: 'A - Mono-therapy' and 'B - Mono-therapy' — 90 rows of per-animal {ID, TIME_DAY, LOGCFU, DRUG, TOTAL_WEEKLY_DOSE, FREQ} at days 1, 6, 28 and 34; an"
